DOI,
10.1111/NPH.18361,Scopus_WOS
10.1371/journal.pone.0075514,Scopus
10.1016/j.agee.2017.01.026,Scopus
10.1111/j.1600-0706.2010.18644.x,Scopus
10.1016/j.cub.2014.10.033,Scopus_WOS
10.1016/j.cub.2019.11.071,Scopus_WOS
10.1051/agro:2008066,Scopus
"Effect of water availability and genetic diversity on flowering phenology, synchrony, and reproductive investment in maize",Scopus_WOS
10.1080/15230430.2018.1548866,Scopus_WOS
10.1017/S0021859612000731,Scopus_WOS
10.1111/j.1472-4642.2011.00877.x,Scopus
10.1007/978-81-322-0974-4,Scopus
10.1111/ecog.06050,Scopus_WOS
10.1002/eap.2583,Scopus_WOS
10.1111/j.1365-2311.2010.01226.x,Scopus
10.1890/10-1885.1,Scopus_WOS
10.1890/12-0255.1,Scopus_WOS
10.1890/14-0819.1,Scopus_WOS
10.1002/ecy.1996,Scopus_WOS
10.1002/ecy.3162,Scopus_WOS
10.1002/ece3.7616,Scopus
10.1111/j.1461-0248.2011.01601.x,Scopus_WOS
10.1111/ele.12170,Scopus_WOS
10.1002/ecs2.1267,Scopus_WOS
10.3389/fevo.2021.679045,Scopus_WOS
10.1111/j.1365-2435.2009.01645.x,Scopus
10.1007/978-1-4614-7501-9,Scopus
10.1111/gcb.12246,Scopus_WOS
10.1111/gcb.15560,Scopus_WOS
10.17660/ActaHortic.2018.1219.23,Scopus
10.3390/insects12060512,Scopus_WOS
10.1111/1365-2656.12158,Scopus_WOS
10.1111/1365-2656.12694,Scopus
10.1111/oik.01491,Scopus
10.3390/plants10030461,Scopus
10.1093/aobpla/plv026,Scopus
10.1073/pnas.0900758106,Scopus
10.1371/journal.pone.0191268,Scopus
10.1098/rspb.2019.0573,Scopus_WOS
10.1098/rstb.2010.0115,Scopus_WOS
10.1007/s00442-019-04377-1,Scopus
10.1007/s00484-014-0846-0,Scopus_WOS
10.1007/s10457-011-9476-2,Scopus
10.1007/s12080-014-0218-8,Scopus_WOS
10.1007/s12229-010-9044-x,Scopus
10.1038/s41598-019-51916-0,Scopus
10.1016/J.ECOCHG.2021.100043,Scopus
10.1016/j.cub.2012.01.009,WOS
10.1111/ele.13609,WOS
10.1007/s11829-017-9572-y,WOS
10.1111/btp.12644,WOS
10.1002/ajb2.1387,WOS
10.1111/ele.13583,WOS
10.1007/s11284-013-1108-z,WOS
10.1073/pnas.1714511115,WOS
10.1111/1365-2745.12362,WOS
10.1016/j.actao.2014.06.001,WOS
10.1111/geb.12916,WOS
10.1890/12-2003.1,WOS
10.1088/1748-9326/11/11/115006,WOS
10.1007/s40333-019-0026-5,WOS
10.1126/science.aay0496,WOS
10.1002/ece3.3272,WOS
10.1007/s11629-010-1107-2,WOS
Secondary flowering: the induction and development abnormalities,WOS
10.1371/journal.pone.0218824,WOS
10.1016/j.flora.2012.09.007,WOS
10.1002/ecy.3466,WOS
10.1007/978-4-431-55954-2_3,WOS
10.1146/annurev-ecolsys-011921-032939,WOS
10.1111/1365-2745.12400,WOS
10.1007/s11629-010-1115-2,WOS
